Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
ABM,ABM Industries Inc.,A,B,C,C,C,2996.937432,1X
ADS,Alliance Data System,D,C,C,C,C,3111.24243,1X
ALLT,Allot Ltd,F,D,C,B,C,276.6754513,.25X
ALV,Autoliv Inc.,F,B,B,C,C,6884.922615,2X
ALXN,Alexion Pharmaceuticals Inc.,A,C,C,C,C,40336.00948,4X
AMAT,Applied Materials Inc.,F,B,B,B,B,122021.7575,4X
ANET,Arista Networks Inc,F,C,B,B,B,40276.23233,4X
ANF,Abercrombie & Fitch Co.,D,B,C,C,C,1906.591533,.5X
APA,APA Corporation,A,B,C,C,C,14784.42239,2X
API,Agora Inc,F,D,D,C,C,1073.796525,.5X
ARLP,"Alliance Resource Partners, LP",A,C,D,C,C,1835.42701,.5X
ASTE,Astec Industries Inc.,F,C,C,B,C,1051.41304,.5X
ATVI,Activision Blizzard Inc,A,C,D,B,C,61252.31713,4X
AUD,Audacy Inc,A,C,D,C,C,427.2803374,.25X
AUDC,Audiocodes,F,,,,,889.5750354,.25X
AXL,American Axle & Manufacturing Holdings Inc,F,B,B,C,B,969.399738,.5X
AZN,Astrazeneca plc,A,B,C,D,C,195902.736,4X
BBSI,Barrett Business Services Inc.,A,D,D,C,C,580.5457261,.25X
BFAM,"Bright Horizons Family Solutions, Inc.",A,D,C,C,C,8310.733471,2X
BGCP,BGC Partners Inc,D,D,D,D,D,1555.81602,.5X
BKE,"Buckle, Inc.",F,C,C,B,B,1908.694828,.5X
BYND,Beyond Meat Inc,F,D,D,D,D,3180.433645,1X
CASY,"Casey`s General Stores, Inc.",D,C,C,C,C,7107.677266,2X
CC,Chemours Company,F,C,C,D,C,4969.775402,1X
CDAY,Ceridian HCM Holding Inc.,F,D,C,D,C,10565.25211,2X
CHUY,Chuy`s Holdings Inc,D,D,C,C,C,561.1192714,.25X
CIR,Circor International Inc,A,B,B,C,C,585.911421,.25X
CLMT,Calumet Specialty Products Partners L.P.,A,,,,,1093.600042,.5X
CLR,Continental Resources Inc (OKLA),A,C,C,C,C,21998.02066,4X
CMCO,Columbus Mckinnon Corp.,D,C,C,C,C,1250.11566,.5X
CMI,Cummins Inc.,D,B,C,B,B,29690.78074,4X
CNSL,Consolidated Communications Holdings Inc,F,C,C,C,C,546.1106431,.25X
